,Unnamed: 0,index,Unnamed: 0.1,posts,Mach,LSRP12,LSRP2,NRSM,languages,Length,sentiment,person,Person,sentiment score
71,93,164,164,"I told you so!
To make the run!!
To see a new dusk to come,
To make the run!!
❤",73,3,2.1,13,en,79,joy,3,3,0.775297701
72,94,165,165,I miss those days playing this ,73,3,2.1,13,en,32,joy,3,3,0.443734348
73,95,166,166,"This song always lifts me up ❤
Absolute gem of a song 😌",73,3,2.1,13,en,55,joy,3,3,0.990965128
74,96,167,167,Even this cat has a better relationship than me,73,3,2.1,13,en,51,joy,3,3,0.889249861
75,97,168,168,"Cause in a sky, 'cause in a sky full of stars
I think I saw you",73,3,2.1,13,en,63,joy,3,3,0.731735051
76,99,170,170,"Ever had the feeling you've been here before?
Drinking down the poison the way you were taught
Ever thought from here on in your life begins
And all you knew was wrong? 💔",73,3,2.1,13,en,170,anger,3,3,0.64398545
77,100,171,171,"I'm feeling fantastic
I'm feeling pretty plastic",73,3,2.1,13,en,48,joy,3,3,0.998970032
78,101,172,172,Muhtasim Jawad Nafi at 3am before exams ,73,3,2.1,13,en,41,joy,3,3,0.424524188
79,102,173,173,Don't you think EXAMS are OVERRATED? ,73,3,2.1,13,en,40,sadness,3,3,0.561225832
80,106,178,178,"Okay, I am convinced. Muse sounds good after 4 in the morning ",73,3,2.1,13,en,64,joy,3,3,0.997587562
81,107,179,179,These kinda songs are the reason I don't sleep at night because I can't resist myself hearing them one more time ,73,3,2.1,13,en,114,love,3,3,0.803474486
82,108,180,180,Reminds me of childhood There are some songs which will never age for me  And this one's just (love),73,3,2.1,13,en,96,joy,3,3,0.907967865
83,109,181,181,I need a girl like this in my life ,73,3,2.1,13,en,38,anger,3,3,0.706969857
84,110,182,182,Snakes change their skins. Hissssssssssssssss ,73,3,2.1,13,en,48,fear,3,3,0.380403161
85,111,183,183,This man's a friggin genius ,73,3,2.1,13,en,29,joy,3,3,0.959435225
86,112,184,184,Yes it is ,73,3,2.1,13,en,11,joy,3,3,0.614996016
87,113,185,185,So I ditched them all -.-,73,3,2.1,13,en,25,sadness,3,3,0.970804155
88,114,186,186,I'm not here. It's not happening,73,3,2.1,13,en,33,joy,3,3,0.530190051
89,115,187,187,"Need to develop your patience?
Attend Organizational Behaviour lecture -.-",73,3,2.1,13,en,74,anger,3,3,0.595769942
90,116,188,188,John Wick riding a Mustang ,73,3,2.1,13,en,28,anger,3,3,0.428072929
91,117,189,189,You watching this Chester? ,73,3,2.1,13,en,28,anger,3,3,0.809558213
92,118,190,190,"In a little while, I'll be gone
The moments already passed
Yeah, it's gone",73,3,2.1,13,en,74,joy,3,3,0.575474501
93,119,191,191,I'm convinced. We need to issue license for people eligible to use smartphone and internet ,73,3,2.1,13,en,94,joy,3,3,0.998355925
94,121,193,193,"Adulthood is like looking both ways before crossing the road and then get hit by an airplane, but you know that. So you decide to sleep.
AGAIN ",73,3,2.1,13,en,146,joy,3,3,0.613338709
95,123,195,195,"I had all and then most of you, some and now none of you, Take me back to the night we met.",73,3,2.1,13,en,95,anger,3,3,0.751755357
96,125,197,197,"This place , That tea And the view",73,3,2.1,13,en,36,joy,3,3,0.754806995
97,127,200,200, I'm crying ,73,3,2.1,13,en,14,sadness,3,3,0.977485538
98,129,202,202,"Okay, I'm not hurt 
*Tries not to cry*
*Cries a lot*",73,3,2.1,13,en,52,sadness,3,3,0.996297181
99,130,203,203,"The Dark Side of the Red Heaven
E.C. Fardin Farhan Khan ❤",73,3,2.1,13,en,57,anger,3,3,0.640859485
100,132,205,205,This place never disappoints ,73,3,2.1,13,en,30,anger,3,3,0.656161368
101,133,206,206,This,73,3,2.1,13,en,6,anger,3,3,0.440016448
102,134,207,207,"Ever a song made you feel aged a little less and also made you feel something much more than the song?
This song always did both with ease 
And Kailash Kher's voice ❤
Conquering my mood since Class 2",73,3,2.1,13,en,199,sadness,3,3,0.981851816
103,135,208,208,"A green plastic watering can
For a fake Chinese rubber plant
In the fake plastic earth ❤",73,3,2.1,13,en,88,sadness,3,3,0.666894436
104,137,210,210,"Again installed this one 
Maybe 6th time 
Still this game has it's charms ❤",73,3,2.1,13,en,75,joy,3,3,0.996379793
105,138,211,211,"That's how Covers should be 
Kudos brother",73,3,2.1,13,en,41,joy,3,3,0.757922828
106,139,212,212,Relatable . Too much relatable,73,3,2.1,13,en,31,joy,3,3,0.920246601
107,141,214,214,That solo in the end ,73,3,2.1,13,en,24,joy,3,3,0.751133621
108,143,216,216,This season is going to be a long one for Real Madrid and their fans,73,3,2.1,13,en,70,joy,3,3,0.954150081
109,144,217,217,"Hey!!!
Wait!!!
I've got a new complaint,
Forever in debt to your priceless advice... 
#Nirvana 
#Heart_Shaped_Box",73,3,2.1,13,en,113,anger,3,3,0.881165266
110,146,219,219,"Don't leave me HIGH
Don't leave me DRY
Don't leave me High.....
Don't leave me Dry..... 
<3",73,3,2.1,13,en,91,anger,3,3,0.668161988
111,149,222,222,"That's it
On the spot",73,3,2.1,13,en,23,anger,3,3,0.54755944
112,150,223,223,"Our life is nothing but the endless arrangements of learning how to gently say ""F**k you"" to people who deserve it and also people who don't",73,3,2.1,13,en,140,love,3,3,0.956186831
113,151,224,224,Real life motivation ,73,3,2.1,13,en,22,joy,3,3,0.941193879
114,153,226,226,That day was something else,73,3,2.1,13,en,29,anger,3,3,0.561207533
115,154,227,227,"Life goal 101
-Survive procrastination 😓",73,3,2.1,13,en,40,joy,3,3,0.91656208
116,156,230,230,"GP just cut off it's data service for its users
And it has started guys
Update: Banglalink and Robi did the same",73,3,2.1,13,en,112,joy,3,3,0.932154059
117,157,231,231,"These kinda things push me to the limit of buying a PS4 
Just announce it for PC already",73,3,2.1,13,en,92,joy,3,3,0.969448745
118,159,233,233,"What came and distorted your sight
Saw you benighted by your fright ❤",73,3,2.1,13,en,69,fear,3,3,0.94271946
119,163,237,237,"Does this thing ring any bell guys?!
Another force is going to be deployed to stop the unstoppable ones 
Hope things don't go south 🤞",73,3,2.1,13,en,133,joy,3,3,0.72241503
120,164,238,238,"Glad this happened 
Otherwise Mbappe meme counts were going out of hands",73,3,2.1,13,en,73,joy,3,3,0.997294366
121,166,240,240,"It's been a long time since the tigers roared like one 
And now when they're roaring, watch them and appreciate 😍",73,3,2.1,13,en,114,joy,3,3,0.968851626
122,167,241,241,After a day long excitement I needed them ,73,3,2.1,13,en,43,joy,3,3,0.837016106
124,169,243,243,And the festivity begins ,73,3,2.1,13,en,26,joy,3,3,0.983294725
125,170,244,244,"Truth begins in lies
- Dr. HOUSE
(Sketched it back a year and something, I know I need to do it more often, maybe I will) ❤",73,3,2.1,13,en,123,joy,3,3,0.616235614
126,172,246,246,"There is Ailsha
There is onek boro Ailsha
Then there's me facebooking when my family is moving to a new house :3",73,3,2.1,13,en,112,joy,3,3,0.821837842
127,173,247,247,"There's stupidity 
There's too much stupidity 
And then there's me going Mymensingh on a local bus 🤔",73,3,2.1,13,en,100,anger,3,3,0.932387173
128,174,248,248,"Eternal silence of the sea 
I'm breathing 
ALIVE ❤",73,3,2.1,13,en,50,joy,3,3,0.996491373
129,176,250,250,I used to sketch ,73,3,2.1,13,en,18,anger,3,3,0.406912535
130,177,251,251,The never ending procedure ,73,3,2.1,13,en,28,anger,3,3,0.588478565
131,178,252,252,"I've put my trust in you
Pushed as far as I can go
For all these there's only one thing you should know ❤
#Forever_Chester",73,3,2.1,13,en,122,anger,3,3,0.882624984
132,180,254,254,Check mate flat Earth guys ,73,3,2.1,13,en,28,anger,3,3,0.719486177
133,182,256,256,"And you can't fight the tears that ain't coming, Or the moment of truth in your lies, When everything feels like the movies. Yeah you bleed just to know you're alive!!",73,3,2.1,13,en,166,joy,3,3,0.992613673
134,183,257,257,"The guy who did this, must do it with something like Frozen . Hilarious ",73,3,2.1,13,en,73,joy,3,3,0.906840146
135,185,259,259,That smirk says it all,73,3,2.1,13,en,22,anger,3,3,0.850357175
136,187,261,261,"A world cup full of accidents
A final full of obviousness
Croatia is the team that deserved THE RUSSIA WC ❤
Heads high, well done Croats
Congratulations France 👌",73,3,2.1,13,en,161,joy,3,3,0.936398268
137,188,262,262,Ashfaqur Rahman Nihal's click ,73,3,2.1,13,en,31,joy,3,3,0.660909355
138,189,263,263,Damn. Pure and utter perfection 👌,73,3,2.1,13,en,34,joy,3,3,0.669152677
139,190,264,264,Hello everyone. This is me Poltu Mia. And in case if you want to follow me this is what I look from behind ,73,3,2.1,13,en,106,joy,3,3,0.783654153
140,191,265,265,"And when I'm gone,
Who'll break your fall,
Who will you blame?
I can't go on, 
Let you lose it all
More than I can take!
Who'll ease your pain?
Ease your pain...",73,3,2.1,13,en,161,sadness,3,3,0.944099605
141,192,266,266,"It's COMING home
The plane which will carry England
IT IS COMING HOME",73,3,2.1,13,en,71,anger,3,3,0.452757955
142,193,267,267,"And it's that time of the year
Happy depression ",73,3,2.1,13,en,49,joy,3,3,0.9519099
143,194,268,268,"Sorry, not sorry ",73,3,2.1,13,en,20,sadness,3,3,0.973885536
144,195,269,269,"And when the lights go down
I see things I can not explain
Calling out my name
The lights go down
Holding every memory close
Tonight is for our ghosts 
Post Traumatic ❤
",73,3,2.1,13,en,182,sadness,3,3,0.997415662
145,197,271,271,Beauty of the game (love),73,3,2.1,13,en,21,joy,3,3,0.979099572
146,199,276,276,You really can't get enough of this view ,73,3,2.1,13,en,42,joy,3,3,0.758599341
148,202,280,280,"Well, lights are something And light trails are just something else ",73,3,2.1,13,en,94,joy,3,3,0.950089931
149,203,281,281,"Didn't happen to us mate
Glad that it didn't happen
(Stoppage time has become pretty much the obvious scoring time for the teams now I guess) 
(A little note: already seen them win a WC while supporting them, I think that's enough for a supporter for a lifetime, but it feels good when they play like this)",73,3,2.1,13,en,326,joy,3,3,0.998941958
150,204,282,282,"Saw first half Guess what?
Surprise SURPRISE 
(Germany may follow the trend of France, Italy and Spain)",73,3,2.1,13,en,106,joy,3,3,0.879519224
151,205,283,283,This night view is a stunning beauty from the corridor of South Hall,73,3,2.1,13,en,70,joy,3,3,0.983872712
152,207,285,285,"Brazil fans can sleep now :3
Not the Argentine fans 
They still have to watch Nigeria vs Iceland with a broken heart 🐸",73,3,2.1,13,en,118,sadness,3,3,0.998904824
153,209,287,287,"Dreamers
They never learn
They never learn (love)",73,3,2.1,13,en,45,joy,3,3,0.695537984
154,211,289,289,May his last one be a memorable one ,73,3,2.1,13,en,38,joy,3,3,0.996831954
155,212,290,290,"Really chilling at Liton's flat 
(Then everyone was happy with 7up )",73,3,2.1,13,en,77,anger,3,3,0.517139971
156,213,291,291,That's on point ,73,3,2.1,13,en,17,joy,3,3,0.456564069
157,215,294,294,This is outrageous ,73,3,2.1,13,en,20,anger,3,3,0.979325891
158,216,295,295,"That one news 
Yakuza O and Kiwami coming to PC��
Made my day",73,3,2.1,13,en,62,joy,3,3,0.672761381
160,219,298,298,"Defy EXTREME SPORTS
-Starting your study for Management Exam at half past one at night on the exam day and discovering the mammoth syllabus ruling out 2 chapters just because it's not extreme enough ",73,3,2.1,13,en,202,joy,3,3,0.976791918
161,220,299,299,"Giving all the credit this one deserves I'd still pick Opekkha over this any day (love)
This one is also good (love)",73,3,2.1,13,en,108,joy,3,3,0.996392787
162,222,301,301,"Was fraped (sad)
Those who had expectations, consolation for them (sad)",49,1.9,2.8,9,en,73,anger,4,4,0.692970693
163,223,302,302,"17 episode waited and then it has started (happy)
Lets see if it's worth the wait",49,1.9,2.8,9,en,76,joy,4,4,0.986254215
164,225,306,306,One of the classics....,49,1.9,2.8,9,en,23,joy,4,4,0.709733129
165,226,307,307,A family friendly movie :3,49,1.9,2.8,9,en,26,joy,4,4,0.997949779
166,227,308,308,Tangled wire,49,1.9,2.8,9,en,15,fear,4,4,0.958301604
167,228,309,309,"Pathaofood is really amazing.
",49,1.9,2.8,9,en,126,surprise,4,4,0.629585683
168,231,312,312,"I am not supposed to say anything about the movie ending (sad)
Though we look happy (sad)",49,1.9,2.8,9,en,83,joy,4,4,0.998720825
169,232,313,313,"-Kabison
-Asfi's treat",49,1.9,2.8,9,en,22,anger,4,4,0.627655804
170,233,314,314,"Happy Birthday bro (smily face)
Take less pressure and chill like me :P",49,1.9,2.8,9,en,58,joy,4,4,0.997277796
171,234,315,315,"Seym always takes it,as it is his job to ""b lame"" -_-",49,1.9,2.8,9,en,53,sadness,4,4,0.998058856
172,235,317,317,Throwback to our last Cox's Bazar tour. An unplanned tour with the most amazing people. We decided to go less than 24 hours ago.,49,1.9,2.8,9,en,128,surprise,4,4,0.964223206
173,236,319,319,"How tall are they???

 😖😖😖😖",49,1.9,2.8,9,en,27,fear,4,4,0.511880398
174,239,324,324,"Class 5
I don't know how it happened but at that time to my eyes Girls were like :
Boys with a previlege to not cut their hair -_-",49,1.9,2.8,9,en,130,anger,4,4,0.564583898
175,241,326,326,"Off to Saint martin :)
#tourDvictory",49,1.9,2.8,9,en,36,joy,4,4,0.525952816
176,242,328,328,"Start of a new week :P
pc: Raihan Nishad",49,1.9,2.8,9,en,40,anger,4,4,0.614367604
177,244,333,333,"On the way to shiliguri :)

New elf in the town :P",49,1.9,2.8,9,en,50,joy,4,4,0.885631144
178,245,334,334,This is what u do when u are on a train that doesn't move :(,49,1.9,2.8,9,en,60,fear,4,4,0.738321304
179,246,335,335,train to busson,49,1.9,2.8,9,en,15,fear,4,4,0.365952522
180,248,337,337,"Watching Swadesh in train like some thugs :)

Going to kolkata from chennai",49,1.9,2.8,9,en,75,anger,4,4,0.621225297
181,250,339,339,India is loading....,49,1.9,2.8,9,en,20,anger,4,4,0.479942083
182,251,340,340,Sheikh family get together party :),49,1.9,2.8,9,en,35,joy,4,4,0.54915154
183,253,342,342,Shundori on fire :P,49,1.9,2.8,9,en,19,anger,4,4,0.845938921
184,254,344,344,With one and only playboy thukku valoboy Atiar Chowdhury :P,49,1.9,2.8,9,en,59,anger,4,4,0.651858389
185,258,348,348,Wedding season is on :),49,1.9,2.8,9,en,23,joy,4,4,0.494862765
186,259,349,349,Btw amar treat chilo :P,49,1.9,2.8,9,en,23,joy,4,4,0.646736026
187,260,350,350,"Intern seshe khaoa daoa :)

Btw amader karor e gaye holud na :P",49,1.9,2.8,9,en,63,anger,4,4,0.683251679
188,261,351,351,First intern day :),49,1.9,2.8,9,en,19,anger,4,4,0.400781721
189,262,352,352,"Babadook 
All should atleast once watch this movie :)",49,1.9,2.8,9,en,53,joy,4,4,0.59256947
190,264,354,354,"Never change, u r on the right track :P",49,1.9,2.8,9,en,39,joy,4,4,0.525071025
191,265,355,355,It will end one day :P,49,1.9,2.8,9,en,22,joy,4,4,0.493421286
192,268,358,358,Buffet treat by Mehedi Hasan Mukit and  Hossain Mohammad Seym,49,1.9,2.8,9,en,61,joy,4,4,0.468245417
193,269,360,360,"About yesterday...

- Muhtasim Musfiq Zarab er khichuri
- Prottoy Hashem er begun vaji,alu vorta vaji, fapor vaji :P
- khadok Imamul Ahsan Radit er cheblami
- Tahmid Rashik kela pare na
- Shaker Ibna Kamal ghume thake

Onek din por Zaraber bashay ekta valo din katlo. Zarab tor khichuri ta asholei onek joss hoise :)

Sorry for uncensored pic :P",49,1.9,2.8,9,en,345,sadness,4,4,0.485425264
194,270,361,361,"Start of a new week :P
pc: Raihan Nishad",49,1.9,2.8,9,en,40,anger,4,4,0.614367604
195,271,362,362,"filter diye jate ashar opochesta :)
#murgirputkineverchanges",49,1.9,2.8,9,en,60,joy,4,4,0.790515125
196,272,365,365,"চশমাটা ভাল্লাগছে :)
Just to cringe some people :P",49,1.9,2.8,9,en,49,anger,4,4,0.652246058
197,275,370,370,"আনাড়ি ফটোগ্রাফার
But some people would say i am becoming like some people :P",49,1.9,2.8,9,en,76,joy,4,4,0.942401707
198,276,371,371,"The people who will never dissapoint me,no matter how many times i dissapoint them.",49,1.9,2.8,9,en,83,anger,4,4,0.954854608
199,277,372,372,"New people,new setup.
Welcome to the family THE PANDORA'S BLACK BOX
#BESTSETUPOFTHECENTURY",49,1.9,2.8,9,en,90,joy,4,4,0.996011734
200,283,380,380,"Being single in a weather this romantic is :'(. . Any suggestion, france?",49,1.9,2.8,9,en,73,love,4,4,0.994803727
201,288,387,387,#HashTagNotAvailable,49,1.9,2.8,9,en,20,anger,4,4,0.525287747
202,289,388,388,Back to network,49,1.9,2.8,9,en,15,anger,4,4,0.427475572
203,290,389,389,"At kotka
#ConnectingTheSpirit",49,1.9,2.8,9,en,29,joy,4,4,0.515361369
204,291,390,390,"#JustIutThings
#ConnectingTheSpirit",49,1.9,2.8,9,en,35,joy,4,4,0.765331447
205,292,391,391,"Off to kotka
#ConnectingTheSpirit",49,1.9,2.8,9,en,33,joy,4,4,0.624861479
206,293,392,392,"Off to shundorbon
#ConnectingTheSpirit",49,1.9,2.8,9,en,38,joy,4,4,0.53583318
207,297,400,400,"When your friend crop you out of a pic cause you wanna try duck face and it comes out like ""murgir putki""
#murgirputki
#rip_rezoan
#awesome
Thx to Hossain Mohammad Seym",49,1.9,2.8,9,en,168,joy,4,4,0.996517539
208,298,406,406,"First camp day
#Zico is awesome",49,1.9,2.8,9,en,31,joy,4,4,0.997552335
210,300,410,410,amr id theke may be sobar kache msg jacche. but ami pathacchi na. may be amr account hack hoiche.kew vhul e o oi link e click koiren na. tahole apnar id o jabe,49,1.9,2.8,9,en,159,anger,4,4,0.80787015
211,301,411,411,Sylhet and Srimongol trip.........,49,1.9,2.8,9,en,34,fear,4,4,0.441078871
212,302,413,413,Sylhet and Srimongol trip.........,49,1.9,2.8,9,en,34,fear,4,4,0.441078871
213,303,419,419,"First team contest
#IUT_team_RED_SQUAD
#talha sir",49,1.9,2.8,9,en,49,anger,4,4,0.480357826
214,306,423,423,"First BOT.

Even now i can't believe  that our team has made this and i am in part of that team. :)",49,1.9,2.8,9,en,99,joy,4,4,0.989507496
215,307,424,424,"One of the craziest thing i have attempted to do,and it has turned out as a great experience. 

3rd position among 32 teams.
#Arduino DaY
#ROBOTICS",49,1.9,2.8,9,en,147,joy,4,4,0.997969568
219,324,455,455,"#IUT_MARS_ROVER
#Team_ANIRBAN",59,2.7,2.9,13,en,29,joy,5,5,0.66920042
220,325,457,457,Best of luck juniors.....,59,2.7,2.9,13,en,25,joy,5,5,0.891626358
221,326,459,459,"#MARS_ROVER
#TEAM_IUT_AVIJATRIK
",59,2.7,2.9,13,en,32,joy,5,5,0.732446611
222,333,474,474,"#IUT_BTM
#Iftar
#Our_Family",59,2.7,2.9,13,en,27,joy,5,5,0.670676708
224,340,500,500,"#AB+ blood needed by tomorrow 2pm.
Location:Green Life Hospital, Road-Green Road, Panthapath, Dhaka
Contact no: 01739888120 (আব্দুল কাদের)",64,2.4,2.4,14,en,138,joy,6,6,0.765716553
