,index,Unnamed: 0,posts,Mach,LSRP12,LSRP2,NRSM,languages
88,159,159,"Best of luck Vai
Make Bangladesh and IUT proud <3",73.0,3.0,2.1,13.0,en
90,161,161,"I need to get a PS4 now, I'm convinced 😒",73.0,3.0,2.1,13.0,en
91,162,162,"No more snoozing of alarms 6-7 times in the morning
#Mid_Sesh 😌",73.0,3.0,2.1,13.0,en
92,163,163,"From the summer to the spring
From the mountain to the air
From samaritan to sin
And it's waiting on the air 😍",73.0,3.0,2.1,13.0,en
93,164,164,"I told you so!
To make the run!!
To see a new dusk to come,
To make the run!!
❤",73.0,3.0,2.1,13.0,en
94,165,165,I miss those days playing this 💔,73.0,3.0,2.1,13.0,en
95,166,166,"This song always lifts me up ❤
Absolute gem of a song 😌",73.0,3.0,2.1,13.0,en
96,167,167,Even this bilai has a better relationship than me 😪,73.0,3.0,2.1,13.0,en
97,168,168,"Cause in a sky, 'cause in a sky full of stars
I think I saw you",73.0,3.0,2.1,13.0,en
99,170,170,"Ever had the feeling you've been here before?
Drinking down the poison the way you were taught
Ever thought from here on in your life begins
And all you knew was wrong? 💔",73.0,3.0,2.1,13.0,en
100,171,171,"I'm feeling fantastic
I'm feeling pretty plastic",73.0,3.0,2.1,13.0,en
101,172,172,Muhtasim Jawad Nafi at 3am before exams 😂,73.0,3.0,2.1,13.0,en
102,173,173,Don't you think EXAMS are OVERRATED? -.-,73.0,3.0,2.1,13.0,en
106,178,178,"Okay, I am convinced 😌
Muse sounds good after 4 in the morning ❤",73.0,3.0,2.1,13.0,en
107,179,179,These kinda songs are the reason I don't sleep at night because I can't resist myself hearing them one more time ❤,73.0,3.0,2.1,13.0,en
108,180,180,"Reminds me of childhood
There are some songs which will never age for me 
And this one's just <3",73.0,3.0,2.1,13.0,en
109,181,181,I need a girl like this in my life -.-,73.0,3.0,2.1,13.0,en
110,182,182,"Snakes change their skins 😌
Hissssssssssssssss 🐍",73.0,3.0,2.1,13.0,en
111,183,183,This man's a friggin genius 😂,73.0,3.0,2.1,13.0,en
112,184,184,Yes it is 😌,73.0,3.0,2.1,13.0,en
113,185,185,So I ditched them all -.-,73.0,3.0,2.1,13.0,en
114,186,186,"I'm not here
It's not happening 💔",73.0,3.0,2.1,13.0,en
115,187,187,"Need to develop your patience?
Attend Organizational Behaviour lecture -.-",73.0,3.0,2.1,13.0,en
116,188,188,John Wick riding a Mustang ❤,73.0,3.0,2.1,13.0,en
117,189,189,You watching this Chester? 💔,73.0,3.0,2.1,13.0,en
118,190,190,"In a little while, I'll be gone
The moments already passed
Yeah, it's gone",73.0,3.0,2.1,13.0,en
119,191,191,"I'm convinced 
We need to issue license for people eligible to use smartphone and internet -.-",73.0,3.0,2.1,13.0,en
121,193,193,"Adulthood is like looking both ways before crossing the road and then get hit by an airplane, but you know that. So you decide to sleep.
AGAIN -.-",73.0,3.0,2.1,13.0,en
123,195,195,"I had all and then most of you, some and now none of you,
Take me back to the night we met... ❤",73.0,3.0,2.1,13.0,en
125,197,197,"This place ❤
That cha 😌
And the view",73.0,3.0,2.1,13.0,en
127,200,200,😭 I'm crying ❤,73.0,3.0,2.1,13.0,en
129,202,202,"Okay, I'm not hurt 
*Tries not to cry*
*Cries a lot*",73.0,3.0,2.1,13.0,en
130,203,203,"The Dark Side of the Red Heaven
E.C. Fardin Farhan Khan ❤",73.0,3.0,2.1,13.0,en
132,205,205,This place never disappoints ❤,73.0,3.0,2.1,13.0,en
133,206,206,This 😂,73.0,3.0,2.1,13.0,en
134,207,207,"Ever a song made you feel aged a little less and also made you feel something much more than the song?
This song always did both with ease 
And Kailash Kher's voice ❤
Conquering my mood since Class 2",73.0,3.0,2.1,13.0,en
135,208,208,"A green plastic watering can
For a fake Chinese rubber plant
In the fake plastic earth ❤",73.0,3.0,2.1,13.0,en
137,210,210,"Again installed this one 
Maybe 6th time 
Still this game has it's charms ❤",73.0,3.0,2.1,13.0,en
138,211,211,"That's how Covers should be ❤
Kudos vai 😌",73.0,3.0,2.1,13.0,en
139,212,212,"Relatable 
Too much relatable 😂",73.0,3.0,2.1,13.0,en
141,214,214,"😳
That solo in the end ❤",73.0,3.0,2.1,13.0,en
143,216,216,This season is going to be a long one for Real Madrid and their fans 😒,73.0,3.0,2.1,13.0,en
144,217,217,"Hey!!!
Wait!!!
I've got a new complaint,
Forever in debt to your priceless advice... 
#Nirvana 
#Heart_Shaped_Box",73.0,3.0,2.1,13.0,en
146,219,219,"Don't leave me HIGH
Don't leave me DRY
Don't leave me High.....
Don't leave me Dry..... 
<3",73.0,3.0,2.1,13.0,en
149,222,222,"That's it 😌
On the spot",73.0,3.0,2.1,13.0,en
150,223,223,"Our life is nothing but the endless arrangements of learning how to gently say ""F**k you"" to people who deserve it and also people who don't",73.0,3.0,2.1,13.0,en
151,224,224,Real life motivation ❤,73.0,3.0,2.1,13.0,en
153,226,226,"❤
That day was something else",73.0,3.0,2.1,13.0,en
154,227,227,"Life goal 101
-Survive procrastination 😓",73.0,3.0,2.1,13.0,en
156,230,230,"GP just cut off it's data service for its users
And it has started guys
Update: Banglalink and Robi did the same",73.0,3.0,2.1,13.0,en
157,231,231,"These kinda things push me to the limit of buying a PS4 -.- 
Just announce it for PC already",73.0,3.0,2.1,13.0,en
159,233,233,"What came and distorted your sight
Saw you benighted by your fright ❤",73.0,3.0,2.1,13.0,en
163,237,237,"Does this thing ring any bell guys?!
Another force is going to be deployed to stop the unstoppable ones 
Hope things don't go south 🤞",73.0,3.0,2.1,13.0,en
164,238,238,"Glad this happened ❤
Otherwise Mbappe meme counts were going out of hands",73.0,3.0,2.1,13.0,en
166,240,240,"It's been a long time since the tigers roared like one ❤
And now when they're roaring, watch them and appreciate 😍",73.0,3.0,2.1,13.0,en
167,241,241,After a day long excitement I needed them ❤,73.0,3.0,2.1,13.0,en
168,242,242,"To all those guys who are saying
""রাস্তা আটকায় ক্যান এসব করতেসে?!""
Give a proper thought and ask yourselves, are you ok with the abuse you face by the system?! 
If you're pussy and ignorant enough then please stay indoors, because people like you deserve to be in the shithole you live in, not on the streets where those brave ones ply and protest
(I know everyone is facing the same problem but if you ignore this situation you indirectly support those killers, cope up with this hassle if you really want a change, otherwise you can always put a finger in your anus and stop bitching)",73.0,3.0,2.1,13.0,en
169,243,243,And the festivity begins ❤,73.0,3.0,2.1,13.0,en
170,244,244,"Truth begins in lies
- Dr. HOUSE
(Sketched it back a year and something, I know I need to do it more often, maybe I will) ❤",73.0,3.0,2.1,13.0,en
172,246,246,"There is Ailsha
There is onek boro Ailsha
Then there's me facebooking when my family is moving to a new house :3",73.0,3.0,2.1,13.0,en
173,247,247,"There's stupidity 
There's too much stupidity 
And then there's me going Mymensingh on a local bus 🤔",73.0,3.0,2.1,13.0,en
174,248,248,"Eternal silence of the sea 
I'm breathing 
ALIVE ❤",73.0,3.0,2.1,13.0,en
176,250,250,I used to sketch 😪,73.0,3.0,2.1,13.0,en
177,251,251,The never ending procedure 😓,73.0,3.0,2.1,13.0,en
178,252,252,"I've put my trust in you
Pushed as far as I can go
For all these there's only one thing you should know ❤
#Forever_Chester",73.0,3.0,2.1,13.0,en
180,254,254,Check mate flat Earth guys 😂,73.0,3.0,2.1,13.0,en
182,256,256,"And you can't fight the tears that ain't coming,
Or the moment of truth in your lies,
When everything feels like the movies
Yeah you bleed just to know you're alive!!",73.0,3.0,2.1,13.0,en
183,257,257,"The guy who did this, must do it with something like Frozen 😂
Hilarious 🐸",73.0,3.0,2.1,13.0,en
185,259,259,That smirk says it all,73.0,3.0,2.1,13.0,en
187,261,261,"A world cup full of accidents
A final full of obviousness
Croatia is the team that deserved THE RUSSIA WC ❤
Heads high, well done Croats
Congratulations France 👌",73.0,3.0,2.1,13.0,en
188,262,262,Ashfaqur Rahman Nihal's click ❤,73.0,3.0,2.1,13.0,en
189,263,263,"Damn ❤
Pure and utter perfection 👌",73.0,3.0,2.1,13.0,en
190,264,264,"Hello everyone
This is me Poltu Mia
And in case if you want to follow me this is what I look from behind 😌",73.0,3.0,2.1,13.0,en
191,265,265,"And when I'm gone,
Who'll break your fall,
Who will you blame?
I can't go on, 
Let you lose it all
More than I can take!
Who'll ease your pain?
Ease your pain...",73.0,3.0,2.1,13.0,en
192,266,266,"It's COMING home
The plane which will carry England
IT IS COMING HOME 😂",73.0,3.0,2.1,13.0,en
193,267,267,"And it's that time of the year
Happy depression 😂",73.0,3.0,2.1,13.0,en
194,268,268,"Sorry, not sorry -.-",73.0,3.0,2.1,13.0,en
195,269,269,"And when the lights go down
I see things I can’t explain
Calling out my name
The lights go down
Holding every memory close
Tonight is for our ghosts 
😍 
Post Traumatic ❤
#MikeShinoda",73.0,3.0,2.1,13.0,en
197,271,271,Beauty of the game <3,73.0,3.0,2.1,13.0,en
199,276,276,You really can't get enough of this view ❤,73.0,3.0,2.1,13.0,en
200,278,278,"It hurts
Hurts bad enough that even though they'll never know someone is supporting them from this country, that person was in tears after the elimination
Still, I supported Germany
And all the fans out there of Brazil and Argentina and the others good luck 
Will be rooting for them again in 2022 and till death
Oh one thing I forgot to mention, I saw Germany win the WC when I was alive, at least I will be there to tell the glory of 2014 and the bitter truth of 2018
How many do really get the chance to see the team they're supporting win the cup
I did! And still proud of that, no matter the shits you say, you can't take away our glory of winning those 4 cups
I'll be there watching it all just let me be at my own for today
ADIOS for now
#Die_Mannschaft
(A bad day will never change a supporter for good :') )",73.0,3.0,2.1,13.0,en
202,280,280,"Well, lights are something
And light trails are just something else 😍
#light_trails #first_try",73.0,3.0,2.1,13.0,en
203,281,281,"Didn't happen to us mate
Glad that it didn't happen 😍
(Stoppage time has become pretty much the obvious scoring time for the teams now I guess) 
#Die_Mannschaft
(A little note: already seen them win a WC while supporting them, I think that's enough for a supporter for a lifetime, but it feels good when they play like this) 💜",73.0,3.0,2.1,13.0,en
204,282,282,"Saw first half
Guess what?
Surprise SURPRISE -_-
(Germany may follow the trend of France, Italy and Spain)",73.0,3.0,2.1,13.0,en
205,283,283,"This night view is a stunning beauty from the corridor of South Hall
😍",73.0,3.0,2.1,13.0,en
207,285,285,"Brazil fans can sleep now :3
Not the Argentine fans 
They still have to watch Nigeria vs Iceland with a broken heart 🐸",73.0,3.0,2.1,13.0,en
209,287,287,"Dreamers
They never learn
They never learn <3",73.0,3.0,2.1,13.0,en
211,289,289,May his last one be a memorable one ❤️,73.0,3.0,2.1,13.0,en
212,290,290,"Kothin chilling at Liton's flat 😂😂😂
(Tokhon sobai 7up niye khushi chilo :'( )",73.0,3.0,2.1,13.0,en
213,291,291,That's on point 😂,73.0,3.0,2.1,13.0,en
215,294,294,This is outrageous 😂,73.0,3.0,2.1,13.0,en
216,295,295,"That one news 😌
Yakuza O and Kiwami coming to PC 😍
Made my day",73.0,3.0,2.1,13.0,en
217,296,296,"Has Ubisoft lost it?! 😑 
It should've been named SPARTA instead of Assassin's Creed (Haven't seen any typical Assassin's Creed acts, no air assassination, no leap of faith, even no hood I mean wtf!?)
Well cheap weed may do this to anybody -_-
And the name is UBIshit for a reason
GONNA Successfully kill AC with a single release I guess (at least reveal looks like that, no standard Assassin's Creed material) 
So, hype khaye laav nai vai, Assassin's Creed to Ezio Trilogy ar Black Flag porjontoi, egula bogus -_-",73.0,3.0,2.1,13.0,en
219,298,298,"Defy EXTREME SPORTS
-Starting your study for Management Exam at half past one at night on the exam day and discovering the mammoth syllabus ruling out 2 chapters just because it's not extreme enough -.-",73.0,3.0,2.1,13.0,en
220,299,299,"Giving all the credit this one deserves I'd still pick Opekkha over this any day <3
This one is also good <3",73.0,3.0,2.1,13.0,en
222,301,301,"Was fraped :(
Jara buke asha bedhe boshe chilo tader jonno shomobedona :)",49.0,1.9,2.8,9.0,en
223,302,302,"17 episode waited and then it has started :)
Lets see if it's worth the wait",49.0,1.9,2.8,9.0,en
225,306,306,One of the classics....,49.0,1.9,2.8,9.0,en
226,307,307,A family friendly movie :3,49.0,1.9,2.8,9.0,en
227,308,308,Tangled wire 😵😵,49.0,1.9,2.8,9.0,en
228,309,309,"Pathaofood is really amazing.
Had this cheese blast burger of Chillox Gulshan.

ইফতারে একটার বেশি খাওয়া প্যারাদায়ক।অনেক চিজ :(",49.0,1.9,2.8,9.0,en
231,312,312,"I am not supposed to say anything about the movie ending :(
Though we look happy :(",49.0,1.9,2.8,9.0,en
232,313,313,"-Kabison
-Asfi's treat",49.0,1.9,2.8,9.0,en
233,314,314,"Happy Birthday bro :)
Pera kom khau amar moto chill hou :P",49.0,1.9,2.8,9.0,en
234,315,315,"Seym always takes it,as it is his job to ""b lame"" -_-",49.0,1.9,2.8,9.0,en
235,317,317,Throwback to our last Cox's Bazar tour. An unplanned tour with the most amazing people. We decided to go less than 24 hours ago.,49.0,1.9,2.8,9.0,en
236,319,319,"How tall are they???

 😖😖😖😖",49.0,1.9,2.8,9.0,en
239,324,324,"Class 5
I don't know how it happened but at that time to my eyes Girls were like :
Boys with a previlege to not cut their hair -_-",49.0,1.9,2.8,9.0,en
241,326,326,"Off to Saint martin :)
#tourDvictory",49.0,1.9,2.8,9.0,en
242,328,328,"Start of a new week :P
pc: Raihan Nishad",49.0,1.9,2.8,9.0,en
244,333,333,"On the way to shiliguri :)

New elf in the town :P",49.0,1.9,2.8,9.0,en
245,334,334,This is what u do when u are on a train that doesn't move :(,49.0,1.9,2.8,9.0,en
246,335,335,train to busson,49.0,1.9,2.8,9.0,en
248,337,337,"Watching Swadesh in train like some thugs :)

Going to kolkata from chennai",49.0,1.9,2.8,9.0,en
250,339,339,India is loading....,49.0,1.9,2.8,9.0,en
251,340,340,Sheikh family get together party :),49.0,1.9,2.8,9.0,en
253,342,342,Shundori on fire :P,49.0,1.9,2.8,9.0,en
254,344,344,With one and only playboy thukku valoboy Atiar Chowdhury :P,49.0,1.9,2.8,9.0,en
258,348,348,Wedding season is on :),49.0,1.9,2.8,9.0,en
259,349,349,Btw amar treat chilo :P,49.0,1.9,2.8,9.0,en
260,350,350,"Intern seshe khaoa daoa :)

Btw amader karor e gaye holud na :P",49.0,1.9,2.8,9.0,en
261,351,351,First intern day :),49.0,1.9,2.8,9.0,en
262,352,352,"Babadook 
All should atleast once watch this movie :)",49.0,1.9,2.8,9.0,en
264,354,354,"Never change, u r on the right track :P",49.0,1.9,2.8,9.0,en
265,355,355,It will end one day :P,49.0,1.9,2.8,9.0,en
268,358,358,Buffet treat by Mehedi Hasan Mukit and  Hossain Mohammad Seym,49.0,1.9,2.8,9.0,en
269,360,360,"About yesterday...

- Muhtasim Musfiq Zarab er khichuri
- Prottoy Hashem er begun vaji,alu vorta vaji, fapor vaji :P
- khadok Imamul Ahsan Radit er cheblami
- Tahmid Rashik kela pare na
- Shaker Ibna Kamal ghume thake

Onek din por Zaraber bashay ekta valo din katlo. Zarab tor khichuri ta asholei onek joss hoise :)

Sorry for uncensored pic :P",49.0,1.9,2.8,9.0,en
270,361,361,"Start of a new week :P
pc: Raihan Nishad",49.0,1.9,2.8,9.0,en
271,362,362,"filter diye jate ashar opochesta :)
#murgirputkineverchanges",49.0,1.9,2.8,9.0,en
272,365,365,"চশমাটা ভাল্লাগছে :)
Just to cringe some people :P",49.0,1.9,2.8,9.0,en
275,370,370,"আনাড়ি ফটোগ্রাফার
But some people would say i am becoming like some people :P",49.0,1.9,2.8,9.0,en
276,371,371,"The people who will never dissapoint me,no matter how many times i dissapoint them.",49.0,1.9,2.8,9.0,en
277,372,372,"New people,new setup.
Welcome to the family THE PANDORA'S BLACK BOX
#BESTSETUPOFTHECENTURY",49.0,1.9,2.8,9.0,en
283,380,380,"Being single in a weather this romantic is :'(. . Any suggestion, france?",49.0,1.9,2.8,9.0,en
288,387,387,#HashTagNotAvailable,49.0,1.9,2.8,9.0,en
289,388,388,Back to network,49.0,1.9,2.8,9.0,en
290,389,389,"At kotka
#ConnectingTheSpirit",49.0,1.9,2.8,9.0,en
291,390,390,"#JustIutThings
#ConnectingTheSpirit",49.0,1.9,2.8,9.0,en
292,391,391,"Off to kotka
#ConnectingTheSpirit",49.0,1.9,2.8,9.0,en
293,392,392,"Off to shundorbon
#ConnectingTheSpirit",49.0,1.9,2.8,9.0,en
297,400,400,"When your friend crop you out of a pic cause you wanna try duck face and it comes out like ""murgir putki""
#murgirputki
#rip_rezoan
#awesome
Thx to Hossain Mohammad Seym",49.0,1.9,2.8,9.0,en
298,406,406,"First camp day
#Zico is awesome",49.0,1.9,2.8,9.0,en
299,407,407,"***Achievements in Competitive Programming by Junior Students***

It is well known that students of IUT have to complete their undergraduate(Consisting of 180+ credits) within 3 years and 10 months.

But still, with the amount of academic pressure, current students are doing really good in competitive programming.

Other than senior programmers like M Saiful Bari and Mohammad Abdullah Matin Khan, juniors are also doing really good.

4th semester student, Shadman Protik was part of the runner up team in the last national programming contest held in Daffodil International University. He also has 1750+ rating point in Codeforces.

Another student from 4th semester, Zubayet Zaman Zico has solved 300+ problems in Lightoj very recently as well as solved around 1500+ programming problems in different online judges. He is 3rd among Bangladeshis in Project Eular Contest at HackerRank as well as has around 1750 rating point in Codeforces.

4th semester student Bakhtiar Hasan is ranked no.1 in Bangladesh in Project Eular Contest at HackerRank.

Another student from 4th semester Mahfuz Alam has solved 200+ problems in lightoj. He is also ranked no.4 among Bangladeshis in Project Eular Contest at HackerRank.

It is also great to inform that even first year students are doing very good. Fahim Shahriar Shakkhor from first year has solved more than 1000 problems in online judges along with having 1800+ rating point in Codeforces. Some other students from 1st year are also doing very good.

Not only that students from CSE Department are doing good in Programming, even students from other departments are also doing programming. Rashed Abid from 6th semester (EEE) has already solved near 1000 problems in different online judges.

We expect that junior students will take part more in competitive programming and achieve much more glory for IUT.",49.0,1.9,2.8,9.0,en
300,410,410,amr id theke may be sobar kache msg jacche. but ami pathacchi na. may be amr account hack hoiche.kew vhul e o oi link e click koiren na. tahole apnar id o jabe,49.0,1.9,2.8,9.0,en
301,411,411,Sylhet and Srimongol trip.........,49.0,1.9,2.8,9.0,en
302,413,413,Sylhet and Srimongol trip.........,49.0,1.9,2.8,9.0,en
303,419,419,"First team contest
#IUT_team_RED_SQUAD
#talha sir",49.0,1.9,2.8,9.0,en
306,423,423,"First BOT.

Even now i can't believe  that our team has made this and i am in part of that team. :)",49.0,1.9,2.8,9.0,en
307,424,424,"One of the craziest thing i have attempted to do,and it has turned out as a great experience. 

3rd position among 32 teams.
#Arduino DaY
#ROBOTICS",49.0,1.9,2.8,9.0,en
315,438,438,"অনেক ছবি আর সাইন্স ফিকশন এ একটা জিনিস এখন প্রায়ই লক্ষ করা যায়,সেটা হইল ডেল্টা স্লিপ (অবলিভিওন এ এই শব্দ টা আছে)।এইটা এমন এক ঘুম যেটা দিয়ে একজন লোককে অনেক বছর ঘুম পাড়ায় রাখা যায় কিন্তু বয়স পরিবর্তন হয় না।সেই ব্যক্তির কাছে মনে হয় সে কিছু সময়ের জন্য ঘুমায় ছিল।এগুলা এখন অহরহ দেখা যায়।হয়ত কিছু দিন পরে বিজ্ঞানীরা আবিষ্কার  করে ফেলবে এর পদ্ধতি।কিন্তু তিনাশত বছর আগেও কি এটাকে পাগলের প্রলাপ মনে হত না?কিন্তু কোর আন ১৪শ বছর আগে কী বলছে?
Al-Kahf : 10
[Mention] when the youths retreated to the cave and said, ""Our Lord, grant us from Yourself mercy and prepare for us from our affair right guidance.""

Al-Kahf : 11

So We cast [a cover of sleep] over their ears within the cave for a number of years.

Al-Kahf : 12
Then We awakened them that We might show which of the two factions was most precise in calculating what [extent] they had remained in time.

Al-Kahf : 19
And similarly, We awakened them that they might question one another. Said a speaker from among them, ""How long have you remained [here]?"" They said, ""We have remained a day or part of a day."" They said, ""Your Lord is most knowing of how long you remained. So send one of you with this silver coin of yours to the city and let him look to which is the best of food and bring you provision from it and let him be cautious. And let no one be aware of you.

Al-Kahf : 25
And they remained in their cave for three hundred years and exceeded by nine.",49.0,1.9,2.8,9.0,en
