,Unnamed: 0.2,Unnamed: 0.1,level_0,index,Unnamed: 0,post,Mach,LSRP12,LSRP2,NRSM,Person,dark_triad,eng_usage_ratio,bng_usage_ratio,eng_switching_ratio,bng_switching_ratio,sentiment
67,67,67,127,127,127,From the days of  being in a nokia music express phone shazam surely grew up!,68,1.3,2.5,3,2,"mach, psycho",76.47058823529412,17.647058823529413,60.0,40.0,joy
68,68,68,128,128,128,Justice League?..pfff!,68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,100.0,0.0,anger
69,69,69,129,129,129,"Gift from ammu..:D
Thanks Muniruz Zaman for finding this beauty..:')",68,1.3,2.5,3,2,"mach, psycho",55.55555555555556,44.44444444444444,66.66666666666666,33.33333333333333,joy
70,70,70,132,132,132,"Only one more year of this..:(
nights like this..*sigh*",68,1.3,2.5,3,2,"mach, psycho",75.0,25.0,66.66666666666666,33.33333333333333,joy
71,71,71,133,133,133,"They grow up so fast don't they..:')
#vhai_khaoan
#convoloading",68,1.3,2.5,3,2,"mach, psycho",71.42857142857143,28.57142857142857,100.0,0.0,joy
72,72,72,134,134,134,BEST MEME!,68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,100.0,0.0,joy
73,73,73,136,136,136,"Last Web-Architecture class of this semester.
Thanks Hasan Mahmud sir for making this subject as intriguing as it really is.:)",68,1.3,2.5,3,2,"mach, psycho",78.94736842105263,21.052631578947366,50.0,50.0,surprise
74,74,74,137,137,137,"Stars of my life came to visit IUT..:')
#ICTfest2k17",68,1.3,2.5,3,2,"mach, psycho",87.5,12.5,100.0,0.0,joy
75,75,75,139,139,139,Thoughts and prayer guys thoughts and prayer.I mean who needs gun control.,68,1.3,2.5,3,2,"mach, psycho",91.66666666666666,8.333333333333332,50.0,50.0,anger
76,76,76,140,140,140,"Somedays you have to stop and think is it ""Radical Islam""
or is it Radical ""Americanism"" that will be downfall of us?#massshooting",68,1.3,2.5,3,2,"mach, psycho",76.19047619047619,23.809523809523807,50.0,50.0,anger
77,77,77,143,143,143,"Airport to khilkhet 50mins
gg BANGLADESH gg",68,1.3,2.5,3,2,"mach, psycho",50.0,50.0,66.66666666666666,33.33333333333333,joy
78,78,78,149,149,149,NEW USER,73,3.0,2.1,13,3,"mach, psycho",100.0,0.0,0.0,0.0,joy
79,79,79,150,150,150,❤  May this doing be followed in our everyday life too,73,3.0,2.1,13,3,"mach, psycho",85.71428571428571,0.0,0.0,0.0,joy
80,80,80,151,151,151,"সাজো তুমি,
ঐ নীল সাগরের বর্ণ নিয়ে...
সাজাও আমায়...
সব কেড়ে নিলে,
সব মুছে দিলে,
তুমি..... ❤",73,3.0,2.1,13,3,"mach, psycho",7.6923076923076925,84.61538461538461,0.0,0.0,joy
81,81,81,152,152,152,"🤔 okay, what's actually happening?",73,3.0,2.1,13,3,"mach, psycho",50.0,33.33333333333333,66.66666666666666,33.33333333333333,joy
82,82,82,153,153,153,Proud to be a part of IUT ❤,73,3.0,2.1,13,3,"mach, psycho",77.77777777777779,11.11111111111111,100.0,0.0,joy
83,83,83,154,154,154,"And when we buried him beneath the willow,
The angels sang a whiskey lullaby ❤",73,3.0,2.1,13,3,"mach, psycho",86.66666666666667,6.666666666666667,50.0,50.0,joy
84,84,84,155,155,155,"Moreno killed it in the end ❤
And Blythe 😍 Well, Blythe is Blythe 😌",73,3.0,2.1,13,3,"mach, psycho",56.25,31.25,60.0,40.0,anger
85,85,85,156,156,156,"Atif without vocal edits is bliss ❤
I can still remember the days when I used to sing along with others, this song brings back those backbencher days of school 😌
Got punished for this, but never learnt, did that again and again
Glad that I never learnt ❤",73,3.0,2.1,13,3,"mach, psycho",89.36170212765957,8.51063829787234,42.85714285714285,57.14285714285714,sadness
86,86,86,157,157,157,"16 🙄
A+ 😂",73,3.0,2.1,13,3,"mach, psycho",40.0,20.0,100.0,0.0,fear
87,87,87,158,158,158,"6 day 6 mid?
- বাদ দে ভাই!! 😪
Credit: GGalib ❤",73,3.0,2.1,13,3,"mach, psycho",30.76923076923077,46.15384615384615,100.0,0.0,joy
88,88,88,159,159,159,"Best of luck Vai
Make Bangladesh and IUT proud <3",73,3.0,2.1,13,3,"mach, psycho",70.0,20.0,50.0,50.0,joy
89,89,89,160,160,160,-.- December 14,73,3.0,2.1,13,3,"mach, psycho",60.0,0.0,0.0,0.0,anger
90,90,90,161,161,161,"I need to get a PS4 now, I'm convinced 😒",73,3.0,2.1,13,3,"mach, psycho",81.81818181818183,9.090909090909092,50.0,50.0,joy
91,91,91,162,162,162,"No more snoozing of alarms 6-7 times in the morning
#Mid_Sesh 😌",73,3.0,2.1,13,3,"mach, psycho",76.92307692307693,7.6923076923076925,100.0,0.0,anger
92,92,92,163,163,163,"From the summer to the spring
From the mountain to the air
From samaritan to sin
And it's waiting on the air 😍",73,3.0,2.1,13,3,"mach, psycho",76.19047619047619,19.047619047619047,50.0,50.0,anger
93,93,93,164,164,164,"I told you so!
To make the run!!
To see a new dusk to come,
To make the run!!
❤",73,3.0,2.1,13,3,"mach, psycho",75.0,25.0,57.14285714285714,42.85714285714285,joy
94,94,94,165,165,165,I miss those days playing this 💔,73,3.0,2.1,13,3,"mach, psycho",87.5,0.0,0.0,0.0,sadness
95,95,95,166,166,166,"This song always lifts me up ❤
Absolute gem of a song 😌",73,3.0,2.1,13,3,"mach, psycho",84.61538461538461,7.6923076923076925,50.0,50.0,joy
96,96,96,167,167,167,Even this bilai has a better relationship than me 😪,73,3.0,2.1,13,3,"mach, psycho",81.81818181818183,9.090909090909092,50.0,50.0,joy
97,97,97,168,168,168,"Cause in a sky, 'cause in a sky full of stars
I think I saw you",73,3.0,2.1,13,3,"mach, psycho",86.66666666666667,13.333333333333334,50.0,50.0,joy
98,98,98,169,169,169,"পরীক্ষার আগের রাত
Expectation:
পইড়া উল্টায় ফেলবো 😌
Reality:
উল্টায়ে পইড়া আছি 😑",73,3.0,2.1,13,3,"mach, psycho",10.0,80.0,0.0,0.0,joy
99,99,99,170,170,170,"Ever had the feeling you've been here before?
Drinking down the poison the way you were taught
Ever thought from here on in your life begins
And all you knew was wrong? 💔",73,3.0,2.1,13,3,"mach, psycho",80.64516129032258,16.129032258064516,55.55555555555556,44.44444444444444,anger
100,100,100,171,171,171,"I'm feeling fantastic
I'm feeling pretty plastic",73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,33.33333333333333,33.33333333333333,66.66666666666666,joy
101,101,101,172,172,172,Muhtasim Jawad Nafi at 3am before exams 😂,73,3.0,2.1,13,3,"mach, psycho",55.55555555555556,33.33333333333333,0.0,100.0,fear
102,102,102,173,173,173,Don't you think EXAMS are OVERRATED? -.-,73,3.0,2.1,13,3,"mach, psycho",62.5,25.0,50.0,50.0,anger
103,103,103,174,174,174,"ভাবসিলাম কঞ্চি 
যতক্ষনে বুঝতে পারলাম আঁছোলা বাঁশ বড্ড দেরি হয়ে গেসে 😪",73,3.0,2.1,13,3,"mach, psycho",7.6923076923076925,84.61538461538461,0.0,0.0,joy
104,104,104,176,176,176,"আন্সার যতই করা হউক, নাম্বার হাফই আসবে :3 
#সত্য_বচন",73,3.0,2.1,13,3,"mach, psycho",10.0,80.0,100.0,0.0,joy
105,105,105,177,177,177,"Engineering এর হাত থেকে বাঁচতে চাইসিলাম 😪
মূলা হাতে ধরায় দিলো 😑",73,3.0,2.1,13,3,"mach, psycho",16.666666666666664,75.0,100.0,0.0,joy
106,106,106,178,178,178,"Okay, I am convinced 😌
Muse sounds good after 4 in the morning ❤",73,3.0,2.1,13,3,"mach, psycho",80.0,6.666666666666667,50.0,50.0,joy
107,107,107,179,179,179,These kinda songs are the reason I don't sleep at night because I can't resist myself hearing them one more time ❤,73,3.0,2.1,13,3,"mach, psycho",82.6086956521739,13.043478260869565,50.0,50.0,love
108,108,108,180,180,180,"Reminds me of childhood
There are some songs which will never age for me 
And this one's just <3",73,3.0,2.1,13,3,"mach, psycho",78.94736842105263,15.789473684210526,50.0,50.0,joy
109,109,109,181,181,181,I need a girl like this in my life -.-,73,3.0,2.1,13,3,"mach, psycho",90.9090909090909,0.0,0.0,0.0,anger
110,110,110,182,182,182,"Snakes change their skins 😌
Hissssssssssssssss 🐍",73,3.0,2.1,13,3,"mach, psycho",71.42857142857143,14.285714285714285,100.0,0.0,anger
111,111,111,183,183,183,This man's a friggin genius 😂,73,3.0,2.1,13,3,"mach, psycho",57.14285714285714,28.57142857142857,50.0,50.0,joy
112,112,112,184,184,184,Yes it is 😌,73,3.0,2.1,13,3,"mach, psycho",80.0,0.0,0.0,0.0,joy
113,113,113,185,185,185,So I ditched them all -.-,73,3.0,2.1,13,3,"mach, psycho",85.71428571428571,0.0,0.0,0.0,sadness
114,114,114,186,186,186,"I'm not here
It's not happening 💔",73,3.0,2.1,13,3,"mach, psycho",57.14285714285714,28.57142857142857,33.33333333333333,66.66666666666666,anger
115,115,115,187,187,187,"Need to develop your patience?
Attend Organizational Behaviour lecture -.-",73,3.0,2.1,13,3,"mach, psycho",80.0,10.0,50.0,50.0,anger
116,116,116,188,188,188,John Wick riding a Mustang ❤,73,3.0,2.1,13,3,"mach, psycho",85.71428571428571,0.0,0.0,0.0,anger
117,117,117,189,189,189,You watching this Chester? 💔,73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,16.666666666666664,100.0,0.0,anger
118,118,118,190,190,190,"In a little while, I'll be gone
The moments already passed
Yeah, it's gone",73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,33.33333333333333,50.0,50.0,sadness
119,119,119,191,191,191,"I'm convinced 
We need to issue license for people eligible to use smartphone and internet -.-",73,3.0,2.1,13,3,"mach, psycho",76.47058823529412,17.647058823529413,40.0,60.0,joy
120,120,120,192,192,192,"যার যার মত করে ভাল থাকা যদি,
সত্যের মত করে আঁকি দুই নদী... <3
পিন্টু দা'র গলা 😍",73,3.0,2.1,13,3,"mach, psycho",5.88235294117647,88.23529411764706,0.0,0.0,joy
121,121,121,193,193,193,"Adulthood is like looking both ways before crossing the road and then get hit by an airplane, but you know that. So you decide to sleep.
AGAIN -.-",73,3.0,2.1,13,3,"mach, psycho",92.85714285714286,3.571428571428571,100.0,0.0,joy
122,122,122,194,194,194,Anika  you missing xD,73,3.0,2.1,13,3,"mach, psycho",57.14285714285714,14.285714285714285,0.0,0.0,sadness
123,123,123,195,195,195,"I had all and then most of you, some and now none of you,
Take me back to the night we met... ❤",73,3.0,2.1,13,3,"mach, psycho",91.30434782608695,4.3478260869565215,50.0,50.0,anger
124,124,124,196,196,196,ForeverSinglegetsmarried.txt,73,3.0,2.1,13,3,"mach, psycho",0.0,100.0,0.0,0.0,joy
125,125,125,197,197,197,"This place ❤
That cha 😌
And the view",73,3.0,2.1,13,3,"mach, psycho",57.14285714285714,42.85714285714285,50.0,50.0,joy
126,126,126,198,198,198,"কিছু বোকাচোদারে মানুষ করা যায় না
এরা অটিস্টিকের মত সব পোস্টে গিয়া লাইক দেয় আর  Cringe দেয় ফ্রি তে!! 
উদাহরণ? আমি দিলাম একটা Arghya Nirjan 
আপনারাও দেন এইরম বোকাচোদার উদাহরণ 
একের অধিক দেওয়াও জায়েজ 😌",73,3.0,2.1,13,3,"mach, psycho",8.108108108108109,86.48648648648648,100.0,0.0,joy
127,127,127,200,200,200,😭 I'm crying ❤,73,3.0,2.1,13,3,"mach, psycho",50.0,16.666666666666664,50.0,50.0,sadness
128,128,128,201,201,201,"যখন তোমার ভয়গুলো,
আমার কাছে অসহায়!
নতুন খামে, পুরনো চিঠি,
তোমার ঠিকানায় ❤ 
#Indalo #ISD",73,3.0,2.1,13,3,"mach, psycho",14.285714285714285,71.42857142857143,100.0,0.0,joy
129,129,129,202,202,202,"Okay, I'm not hurt 
*Tries not to cry*
*Cries a lot*",73,3.0,2.1,13,3,"mach, psycho",60.0,40.0,57.14285714285714,42.85714285714285,sadness
130,130,130,203,203,203,"The Dark Side of the Red Heaven
E.C. Fardin Farhan Khan ❤",73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,25.0,50.0,50.0,anger
131,131,131,204,204,204,"Nishad vai
Valo achen?! 🙄",73,3.0,2.1,13,3,"mach, psycho",20.0,60.0,0.0,0.0,anger
132,132,132,205,205,205,This place never disappoints ❤,73,3.0,2.1,13,3,"mach, psycho",83.33333333333334,0.0,0.0,0.0,anger
133,133,133,206,206,206,This 😂,73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,0.0,0.0,0.0,anger
134,134,134,207,207,207,"Ever a song made you feel aged a little less and also made you feel something much more than the song?
This song always did both with ease 
And Kailash Kher's voice ❤
Conquering my mood since Class 2",73,3.0,2.1,13,3,"mach, psycho",84.21052631578947,13.157894736842104,50.0,50.0,sadness
135,135,135,208,208,208,"A green plastic watering can
For a fake Chinese rubber plant
In the fake plastic earth ❤",73,3.0,2.1,13,3,"mach, psycho",81.25,12.5,50.0,50.0,sadness
136,136,136,209,209,209,এভাবেই আগামী দিনে আমাদের হাসিমুখে ট্রিট দিয়ে যাবেন এই আশায় থাকলাম Samin ভাই ❤,73,3.0,2.1,13,3,"mach, psycho",6.666666666666667,86.66666666666667,0.0,0.0,joy
137,137,137,210,210,210,"Again installed this one 
Maybe 6th time 
Still this game has it's charms ❤",73,3.0,2.1,13,3,"mach, psycho",73.33333333333333,20.0,50.0,50.0,joy
138,138,138,211,211,211,"That's how Covers should be ❤
Kudos vai 😌",73,3.0,2.1,13,3,"mach, psycho",55.55555555555556,33.33333333333333,50.0,50.0,joy
139,139,139,212,212,212,"Relatable 
Too much relatable 😂",73,3.0,2.1,13,3,"mach, psycho",33.33333333333333,50.0,50.0,50.0,joy
140,140,140,213,213,213,হেইতত শালার পুতেরা!!,73,3.0,2.1,13,3,"mach, psycho",0.0,100.0,0.0,0.0,anger
141,141,141,214,214,214,"😳
That solo in the end ❤",73,3.0,2.1,13,3,"mach, psycho",71.42857142857143,14.285714285714285,0.0,100.0,anger
142,142,142,215,215,215,"Fahim ভাই চেয়েছিলেন কেক খেতে, তাই চিনি ছাড়া কেক বানালাম ভাইকে নিয়ে 😌
আর Pranto পকেটেত্থে ফোন বাইর করতে এতক্ষন লাগে? একশন মিস!! 
ডিম মারলাম ওইডার কোন রেকর্ডই নাই শুয়ার -_- 
আর আমরা কোন চান্দিছিলাকে বেল দেই না 😌",73,3.0,2.1,13,3,"mach, psycho",5.0,90.0,100.0,0.0,joy
143,143,143,216,216,216,This season is going to be a long one for Real Madrid and their fans 😒,73,3.0,2.1,13,3,"mach, psycho",94.11764705882352,0.0,0.0,0.0,joy
144,144,144,217,217,217,"Hey!!!
Wait!!!
I've got a new complaint,
Forever in debt to your priceless advice... 
#Nirvana 
#Heart_Shaped_Box",73,3.0,2.1,13,3,"mach, psycho",69.23076923076923,30.76923076923077,50.0,50.0,anger
145,145,145,218,218,218,"এহ হে!!
এইটাও গুজব মনে হয় 🙄",73,3.0,2.1,13,3,"mach, psycho",14.285714285714285,71.42857142857143,0.0,0.0,joy
146,146,146,219,219,219,"Don't leave me HIGH
Don't leave me DRY
Don't leave me High.....
Don't leave me Dry..... 
<3",73,3.0,2.1,13,3,"mach, psycho",64.28571428571429,35.714285714285715,50.0,50.0,anger
147,147,147,220,220,220,Daaaaaaaamn 😳,73,3.0,2.1,13,3,"mach, psycho",33.33333333333333,33.33333333333333,0.0,0.0,anger
148,148,148,221,221,221,"Nah, Godsmack feels good ❤",73,3.0,2.1,13,3,"mach, psycho",50.0,33.33333333333333,0.0,100.0,joy
149,149,149,222,222,222,"That's it 😌
On the spot",73,3.0,2.1,13,3,"mach, psycho",60.0,40.0,33.33333333333333,66.66666666666666,anger
150,150,150,223,223,223,"Our life is nothing but the endless arrangements of learning how to gently say ""F**k you"" to people who deserve it and also people who don't",73,3.0,2.1,13,3,"mach, psycho",88.46153846153845,11.538461538461538,66.66666666666666,33.33333333333333,love
151,151,151,224,224,224,Real life motivation ❤,73,3.0,2.1,13,3,"mach, psycho",80.0,0.0,0.0,0.0,joy
152,152,152,225,225,225,"ভেঙে ফেলো বাঁধার দেয়ালগুলো
মুছে দাও মিথ্যে প্রয়াস
হেরেও আমি জেগে থাকবো
মুছে দিব সব আঁধার ❤",73,3.0,2.1,13,3,"mach, psycho",6.666666666666667,86.66666666666667,0.0,0.0,joy
153,153,153,226,226,226,"❤
That day was something else",73,3.0,2.1,13,3,"mach, psycho",80.0,20.0,0.0,100.0,anger
154,154,154,227,227,227,"Life goal 101
-Survive procrastination 😓",73,3.0,2.1,13,3,"mach, psycho",66.66666666666666,16.666666666666664,50.0,50.0,joy
